Numero_expedient,Descripcio_dia_setmana,NK_Any,Mes_any,Dia_mes,Hora_dia,Descripcio_torn,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Longitud,Latitud
2019S001827    ,Divendres,2019,3,8,7,Matí,2,0,2,1,2.17594778907711,41.4151776495168
2019S001828    ,Divendres,2019,3,8,7,Matí,1,0,1,2,2.15111224347367,41.350979904044
2019S001829    ,Divendres,2019,3,8,8,Matí,1,0,1,2,2.16588791723872,41.3934747134452
2019S001830    ,Divendres,2019,3,8,8,Matí,1,0,1,2,2.15118909021232,41.394221658214
2019S001831    ,Divendres,2019,3,8,8,Matí,1,0,1,2,2.18439566529802,41.4154658255376
2019S001832    ,Divendres,2019,3,8,9,Matí,0,0,0,2,2.17459570295694,41.3856899789008
2019S001833    ,Divendres,2019,3,8,10,Matí,1,0,1,1,2.19622185056751,41.3880203573328
2019S001834    ,Divendres,2019,3,8,11,Matí,1,0,1,2,2.19507550833042,41.3881597051843
2019S001835    ,Divendres,2019,3,8,11,Matí,1,0,1,2,2.17677445252096,41.3993244356763
2019S001836    ,Divendres,2019,3,8,10,Matí,2,0,2,2,2.15643673590751,41.4098674505702
2019S001837    ,Divendres,2019,3,8,14,Tarda,1,0,1,2,2.14637931692263,41.3727226588965
2019S001838    ,Divendres,2019,3,8,15,Tarda,1,0,1,2,2.15581033457409,41.3872987847482
2019S001839    ,Divendres,2019,3,8,16,Tarda,1,0,1,1,2.11443790704977,41.4011721022757
2019S001840    ,Divendres,2019,3,8,15,Tarda,1,0,1,2,2.14540718939221,41.431465868126
2019S001841    ,Dijous,2019,3,7,19,Tarda,2,0,2,3,2.13848100025637,41.3459275141526
2019S001842    ,Divendres,2019,3,8,17,Tarda,2,0,2,1,2.13933610567834,41.3918867990219
2019S001843    ,Divendres,2019,3,8,16,Tarda,1,0,1,2,2.17380867924937,41.3891326410491
2019S001844    ,Divendres,2019,3,8,17,Tarda,1,0,1,2,2.14394604532823,41.3905858421439
2019S001845    ,Divendres,2019,3,8,16,Tarda,1,0,1,3,2.1340087124444,41.3979684325676
2019S001846    ,Divendres,2019,3,8,18,Tarda,1,0,1,2,2.16031396058869,41.3840498861025
2019S001847    ,Divendres,2019,3,8,15,Tarda,1,0,1,2,2.17717745058597,41.4237406614365
2019S001848    ,Divendres,2019,3,8,20,Tarda,1,0,1,2,2.16501121225977,41.3916088648512
2019S001849    ,Divendres,2019,3,8,23,Nit,1,0,1,1,2.15965489952521,41.395293891462
2019S001850    ,Divendres,2019,3,8,20,Tarda,1,0,1,1,2.15802526950709,41.3838416635934
2019S001851    ,Divendres,2019,3,8,21,Tarda,1,0,1,2,2.13529237567028,41.3976086039269
2019S001852    ,Divendres,2019,3,8,21,Tarda,1,0,1,1,2.18076493946243,41.4390476911718
2019S001853    ,Divendres,2019,3,8,20,Tarda,0,0,0,1,2.15594442205605,41.3888051775063
2019S001854    ,Dissabte,2019,3,9,2,Nit,1,0,1,2,2.18091123601504,41.3974765465727
2019S001855    ,Dissabte,2019,3,9,6,Matí,1,0,1,2,2.16570798018343,41.387172273019
2019S001856    ,Dissabte,2019,3,9,7,Matí,0,0,0,1,2.18060760966094,41.3786846345054
2019S001857    ,Dissabte,2019,3,9,9,Matí,3,0,3,2,2.19725810025018,41.4110500759608
2019S001858    ,Dissabte,2019,3,9,8,Matí,1,0,1,2,2.18243941944983,41.4089767121469
2019S001859    ,Dissabte,2019,3,9,12,Matí,1,0,1,2,2.17424443840235,41.3870791952766
2019S001860    ,Dissabte,2019,3,9,14,Tarda,1,0,1,2,2.17177626426922,41.4129350320669
2019S001861    ,Dissabte,2019,3,9,13,Matí,1,0,1,2,2.13139705871798,41.4143911749444
2019S001862    ,Dissabte,2019,3,9,15,Tarda,1,0,1,2,2.15693470381688,41.3883100041876
2019S001863    ,Dissabte,2019,3,9,13,Matí,1,0,1,2,2.18344815642943,41.4316909205766
2019S001864    ,Dissabte,2019,3,9,15,Tarda,1,0,1,2,2.19786350130342,41.4167504793169
2019S001865    ,Dissabte,2019,3,9,16,Tarda,2,0,2,2,2.1593873648329,41.3762175580277
2019S001866    ,Dissabte,2019,3,9,16,Tarda,0,0,0,1,2.17338622314983,41.405115768912
2019S001867    ,Dissabte,2019,3,9,18,Tarda,1,0,1,2,2.15772568780498,41.3842949762619
2019S001868    ,Dissabte,2019,3,9,17,Tarda,2,0,2,3,2.10941374334318,41.3934509228088
2019S001869    ,Dissabte,2019,3,9,18,Tarda,1,0,1,1,2.18788553854176,41.3821812142969
2019S001870    ,Dissabte,2019,3,9,20,Tarda,1,0,1,1,2.21115641204403,41.4018383210519
2019S001871    ,Dissabte,2019,3,9,21,Tarda,1,0,1,2,2.12400234231657,41.3776445773706
2019S001872    ,Dissabte,2019,3,9,21,Tarda,1,0,1,2,2.20572371418863,41.4111626057449
2019S001873    ,Dissabte,2019,3,9,23,Nit,1,0,1,1,2.15395959747834,41.3841886215526
2019S001874    ,Diumenge,2019,3,10,3,Nit,0,0,0,2,2.20432539986393,41.3927936880321
2019S001875    ,Diumenge,2019,3,10,6,Matí,5,0,5,2,2.14342857823169,41.3902878090847
2019S001876    ,Diumenge,2019,3,10,6,Matí,1,0,1,2,2.11831067678349,41.3865397907034
2019S001877    ,Diumenge,2019,3,10,8,Matí,1,0,1,3,2.16170307358361,41.3968527914339
2019S001878    ,Diumenge,2019,3,10,9,Matí,3,0,3,1,2.18565511386651,41.3824004544393
2019S001879    ,Diumenge,2019,3,10,1,Nit,1,0,1,2,2.19187536912199,41.4167185711459
