Numero_expedient,Any,Mes_any,Dia_mes,Hora_dia,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Longitud,Latitud
2018S008166    ,2018,10,26,7,1,0,1,2,2.135836,41.364421
2018S006469    ,2018,8,25,15,0,0,0,1,2.143921,41.363969
2018S001537    ,2018,2,26,11,5,0,5,5,2.133801,41.364177
2018S006611    ,2018,8,31,15,1,0,1,2,2.133801,41.364177
2018S000865    ,2018,2,1,17,1,0,1,1,2.133726,41.363474
2018S006292    ,2018,8,16,11,1,0,1,2,2.133801,41.364177
2018S003156    ,2018,4,24,9,1,0,1,1,2.133801,41.364177
2018S008095    ,2018,10,24,10,1,0,1,2,2.133726,41.363474
2018S003156    ,2018,4,24,9,1,0,1,1,2.133801,41.364177
2018S001146    ,2018,2,11,17,1,0,1,2,2.137945,41.364506
2018S002869    ,2018,4,15,13,1,0,1,2,2.133801,41.364177
2018S000822    ,2018,1,31,6,1,0,1,2,2.134537,41.364776
2018S000557    ,2018,1,22,9,1,0,1,3,2.134649,41.364176
2018S009494    ,2018,12,13,7,1,0,1,2,2.188856,41.404701
2018S008370    ,2018,11,1,16,0,0,0,4,2.139083,41.364126
2018S009069    ,2018,11,27,14,1,0,1,2,2.134562,41.364549
2018S003314    ,2018,4,29,6,1,0,1,1,2.136468,41.365161
2018S001609    ,2018,2,28,9,1,0,1,1,2.136468,41.365161
2018S005994    ,2018,8,2,22,1,0,1,1,2.134649,41.364176
2018S001087    ,2018,2,9,10,1,0,1,1,2.136468,41.365161
2018S006678    ,2018,9,4,14,1,0,1,2,2.135836,41.364421
2018S002412    ,2018,3,27,14,1,0,1,2,2.144665,41.36511
2018S006927    ,2018,9,14,6,0,0,0,1,2.138901,41.365083
2018S008377    ,2018,11,2,1,0,0,0,2,2.141364,41.364618
2018S000935    ,2018,2,4,13,1,0,1,2,2.135343,41.36511
2018S007361    ,2018,9,30,20,7,0,8,12,2.13485,41.365229
2018S008164    ,2018,10,26,7,1,0,1,3,2.128001,41.382867
2018S008728    ,2018,11,15,10,1,0,1,2,2.135454,41.36413
2018S003034    ,2018,4,20,12,1,0,1,2,2.134562,41.364549
2018S003532    ,2018,5,6,21,1,0,1,2,2.145782,41.365614
2018S004424    ,2018,6,8,18,1,0,1,2,2.145782,41.365614
2018S003427    ,2018,5,3,12,1,0,1,2,2.136012,41.365497
2018S003945    ,2018,5,22,6,1,0,1,2,2.136301,41.3649
2018S008971    ,2018,11,23,13,1,0,1,2,2.134649,41.364176
2018S005970    ,2018,8,2,8,1,0,1,2,2.134562,41.364549
2018S002565    ,2018,4,4,20,1,0,1,2,2.134649,41.364176
2018S002184    ,2018,3,18,19,1,1,2,2,2.135343,41.36511
2018S005104    ,2018,7,3,2,2,0,2,1,2.136012,41.365497
2018S005708    ,2018,7,23,23,1,0,1,2,2.135343,41.36511
2018S009906    ,2018,12,28,13,1,0,1,2,2.134562,41.364549
2018S003658    ,2018,5,11,10,1,0,1,2,2.135343,41.36511
2018S001393    ,2018,2,21,8,1,0,1,2,2.134562,41.364549
2018S004537    ,2018,6,13,18,2,0,2,3,2.134649,41.364176
2018S002389    ,2018,3,26,7,1,0,1,2,2.136422,41.365471
2018S002181    ,2018,3,18,16,1,0,1,1,2.136204,41.365639
2018S004090    ,2018,5,26,20,1,0,1,2,2.134649,41.364176
2018S001484    ,2018,2,23,22,1,0,1,2,2.13485,41.365229
2018S003323    ,2018,4,29,18,1,0,1,1,2.165445,41.367322
2018S008201    ,2018,10,27,15,1,0,1,3,2.171885,41.366019
2018S002881    ,2018,4,16,5,2,0,2,2,2.171625,41.366096
2018S007427    ,2018,10,2,18,11,0,11,9,2.206236,41.44314
2018S009135    ,2018,11,29,13,1,0,1,2,2.13485,41.365229
2018S009577    ,2018,12,15,3,2,0,2,1,2.171885,41.366019
2018S008647    ,2018,11,11,17,1,0,1,2,2.154385,41.36593
2018S004418    ,2018,6,8,13,1,0,1,2,2.134714,41.366082
2018S004408    ,2018,6,8,8,2,0,2,4,2.136643,41.365966
2018S000503    ,2018,1,19,18,1,0,1,2,2.137634,41.36606
2018S000541    ,2018,1,21,2,1,0,1,2,2.165445,41.367322
2018S007822    ,2018,10,15,11,1,0,1,1,2.137729,41.366117
2018S002329    ,2018,3,23,18,1,0,1,2,2.146895,41.365346
2018S002772    ,2018,4,11,15,1,0,1,2,2.138273,41.365645
2018S005825    ,2018,7,27,18,1,0,1,2,2.137642,41.36638
2018S001647    ,2018,3,1,11,2,0,2,2,2.150776,41.366252
2018S009931    ,2018,12,29,21,1,0,1,2,2.150139,41.366747
2018S001928    ,2018,3,9,17,1,0,1,2,2.172133,41.366507
2018S006696    ,2018,9,5,0,1,0,1,2,2.172133,41.366507
2018S003342    ,2018,4,30,16,1,0,1,2,2.171562,41.366604
2018S006648    ,2018,9,3,14,1,0,1,2,2.171562,41.366604
2018S002790    ,2018,4,12,9,1,0,1,2,2.137642,41.36638
2018S003775    ,2018,5,15,7,1,0,1,2,2.137642,41.36638
2018S005308    ,2018,7,9,20,1,0,1,2,2.13581,41.366526
2018S000945    ,2018,2,4,20,3,0,3,1,2.150776,41.366252
2018S008876    ,2018,11,20,18,1,0,1,1,2.150776,41.366252
2018S002411    ,2018,3,27,13,1,0,1,2,2.132314,41.366382
2018S008752    ,2018,11,15,21,2,0,2,2,2.171885,41.366019
2018S000271    ,2018,1,12,8,0,1,1,2,2.138494,41.366705
2018S004824    ,2018,6,23,1,2,0,2,1,2.159001,41.367401
2018S003378    ,2018,5,2,10,1,0,1,2,2.144821,41.366779
2018S007452    ,2018,10,3,13,1,0,1,2,2.138727,41.36688
2018S007322    ,2018,9,29,4,0,0,0,1,2.138251,41.367177
2018S007086    ,2018,9,20,18,1,0,1,2,2.146273,41.367097
2018S001385    ,2018,2,20,18,1,0,1,1,2.159001,41.367401
2018S006772    ,2018,9,7,18,1,0,1,1,2.159001,41.367401
2018S003717    ,2018,5,13,5,1,0,1,2,2.138494,41.366705
2018S005396    ,2018,7,12,16,1,0,1,3,2.138494,41.366705
2018S007597    ,2018,10,7,18,1,0,1,2,2.139566,41.36751
2018S005798    ,2018,7,26,19,0,1,1,1,2.139155,41.367201
2018S006149    ,2018,8,9,19,1,0,1,2,2.140246,41.367086
2018S002975    ,2018,4,18,14,1,0,1,3,2.172891,41.367636
2018S006491    ,2018,8,26,2,5,0,5,2,2.173312,41.367667
2018S003507    ,2018,5,5,10,0,0,0,1,2.133753,41.367421
2018S008525    ,2018,11,7,13,1,0,1,2,2.138727,41.36688
2018S001675    ,2018,3,2,9,1,0,1,2,2.138491,41.367513
2018S007415    ,2018,10,2,15,1,0,1,2,2.139155,41.367201
2018S003005    ,2018,4,19,14,2,0,2,2,2.139155,41.367201
2018S009609    ,2018,12,16,18,0,0,0,2,2.138727,41.36688
2018S004082    ,2018,5,26,14,1,0,1,3,2.138494,41.366705
2018S002287    ,2018,3,22,8,1,0,1,3,2.139155,41.367201
2018S008843    ,2018,11,20,8,3,0,3,3,2.144898,41.367725
2018S007031    ,2018,9,19,10,1,0,1,2,2.139566,41.36751
2018S007882    ,2018,10,17,12,1,0,1,2,2.139852,41.367724
2018S007221    ,2018,9,26,11,2,0,2,2,2.144182,41.366104
2018S009240    ,2018,12,1,15,1,0,1,1,2.133753,41.367421
2018S003668    ,2018,5,11,13,1,0,1,2,2.145109,41.368274
2018S006217    ,2018,8,12,16,1,0,1,2,2.134528,41.367821
2018S004880    ,2018,6,25,18,1,0,1,2,2.14479,41.364765
2018S007764    ,2018,10,12,16,1,0,1,1,2.1394,41.368043
2018S006987    ,2018,9,17,21,2,0,2,1,2.139413,41.367733
2018S005094    ,2018,7,2,17,1,0,1,2,2.139413,41.367733
2018S008628    ,2018,11,11,1,0,0,0,1,2.1394,41.368043
2018S004890    ,2018,6,26,8,1,0,1,2,2.134756,41.365838
2018S008856    ,2018,11,20,13,1,0,1,2,2.171885,41.366019
2018S003589    ,2018,5,9,1,4,0,4,2,2.172133,41.366507
2018S001976    ,2018,3,11,13,1,0,1,2,2.150626,41.368258
2018S005414    ,2018,7,12,23,1,0,1,1,2.172307,41.369586
2018S001280    ,2018,2,16,14,2,0,2,2,2.173302,41.368502
2018S001502    ,2018,2,23,15,1,0,1,2,2.171625,41.366096
2018S001281    ,2018,2,16,14,1,0,1,3,2.173744,41.369304
